slice_col,slice_value,horizon,n,positive_rate,mean_pred,brier,log_loss,ece_10
category,YouTube,p_6h,79,0.4810126582278481,0.4719761012367256,0.01112463429272151,0.040508052802582926,0.013588004934040492
category,YouTube,p_24h,79,0.4810126582278481,0.4722104447617478,0.011104855462765831,0.04026337651856926,0.013353661409018365
category,YouTube,p_168h,60,0.4666666666666667,0.49049529483708426,0.13336976518182186,0.3930171270173294,0.10549529483708428
category,ZachXBT,p_final,33,0.030303030303030304,0.0553696436106774,0.005686644766690244,0.029082159508001464,0.025127219368253153
category,ZachXBT,p_6h,33,0.030303030303030304,0.0553696436106774,0.005686644766690244,0.029082159508001464,0.025127219368253153
category,ZachXBT,p_24h,33,0.030303030303030304,0.0553696436106774,0.005686644766690244,0.029082159508001464,0.025127219368253153
category,andrew tate,p_final,64,0.0625,0.07161729423221097,0.0031547195312108677,0.013400499909359334,0.01114854423221098
category,andrew tate,p_6h,64,0.0625,0.04995182149160153,0.045806105306700706,0.13049082422371203,0.04973567850839847
category,andrew tate,p_24h,64,0.0625,0.04796994451493423,0.0376879132775825,0.10665098419420194,0.03756369833368706
category,counter strike 2,p_final,34,0.47058823529411764,0.4970383481383331,0.0370450800080995,0.12048486440635726,0.07468540711816879
category,league of legends,p_final,46,0.45652173913043476,0.4656596385776748,0.02194128681297944,0.06906693294872439,0.05194817007831514
category,netflix,p_final,40,0.15,0.15454293465247113,0.00040388410324118646,0.011343393671422274,0.01113416439859314
category,netflix,p_6h,39,0.15384615384615385,0.15223496092697053,0.0008384097918890202,0.01605010232511969,0.015608506747392968
category,netflix,p_24h,37,0.16216216216216217,0.16713712275108003,0.029650658990956813,0.09306591362529697,0.04855567484648563
category,winter olympics,p_final,63,0.1111111111111111,0.12048383142482195,0.009455359089342395,0.030496288432256245,0.009563196504187023
category,winter olympics,p_6h,63,0.1111111111111111,0.12048383142482195,0.009455359089342395,0.030496288432256245,0.009563196504187023
category,winter olympics,p_24h,63,0.1111111111111111,0.12048383142482195,0.009455359089342395,0.030496288432256245,0.009563196504187023
category,winter olympics,p_168h,40,0.15,0.13029502281318922,0.04902949686703315,0.13937291859353373,0.06639502281318921
